Country,Year,Electricity from fossil fuels (TWh),Electricity from renewables (TWh),Toatl Electricity generation (TWh),EC Renewables (TWh),EC Fossil fuels (TWh),Total Energy consumption (TWh)
Austria,1990,16.66,32.64,49.3,96.89259,238.27486,335.16745
Austria,1991,17.529999,32.65,50.18,96.97279,254.54054,351.51334
Austria,1992,13.79,36.16,49.95,107.38001,238.59088,345.9709
Austria,1993,13.32,38.05,51.37,112.99009,239.1349,352.125
Austria,1994,15.210001,36.899998,52.11,109.527504,240.44193,349.96942
Austria,1995,16.27,38.91,55.18,115.67315,251.3576,367.03076
Austria,1996,17.78,35.79,53.57,106.39695,261.10703,367.50394
Austria,1997,17.86,37.82,55.68,112.44349,262.8246,375.2681
Austria,1998,16.89,39.03,55.92,116.06899,265.21317,381.28217
Austria,1999,17.57,42.35,59.92,125.784775,264.26392,390.04868
Austria,2000,16.41,43.44,59.85,128.99109,262.42456,391.41565
Austria,2001,18.82,42.24,61.06,124.920685,280.44653,405.3672
Austria,2002,18.79,41.9,60.69,123.12208,282.88486,406.00693
Austria,2003,22.82,35.24,58.06,103.139915,307.11383,410.25372
Austria,2004,22.31,39.62,61.93,115.47339,302.39697,417.87033
Austria,2005,23.61,40.88,64.49,118.82487,306.63385,425.45874
Austria,2006,21.62,40.66,62.28,120.292366,300.71646,421.00882
Austria,2007,19.74,43.17,62.91,127.58024,284.4118,411.99207
Austria,2008,19.97,44.53,64.5,131.58855,288.42078,420.0093
Austria,2009,19.12,47.18,66.3,139.61539,267.22955,406.84494
Austria,2010,22.92,44.99,67.91,132.76695,287.3896,420.15656
Austria,2011,21.35,40.91,62.26,120.841354,275.2274,396.06876
Austria,2012,17.37,51.33,68.7,148.79189,265.73227,414.52417
Austria,2013,14.09,50.5,64.59,145.05257,266.15073,411.2033
Austria,2014,11.42,50.2,61.62,144.66635,250.13168,394.79803
Austria,2015,14.26,47.59,61.85,138.20769,256.6368,394.84448
Austria,2016,14.17,51.08,65.25,145.64502,262.3385,407.98352
Austria,2017,16.37,51.05,67.42,144.09386,273.11026,417.2041
Austria,2018,14.98,50.06,65.04,140.98167,267.3313,408.31296
Austria,2019,16.22,54.64,70.86,152.49455,276.53314,429.02768
Austria,2020,13.77,55.42,69.19,153.16536,247.93655,401.10193
Austria,2021,14.2,52.75,66.95,145.65163,257.99292,403.64453
Austria,2022,15.34,49.35,64.69,139.69252,241.89842,381.59094
Belgium,1990,27.01,0.56,70.29,1.7074597,498.42084,621.35266
Belgium,1991,27.79,0.54,71.19,1.6552756,519.6058,642.87976
Belgium,1992,27.34,0.62,71.42,1.8872647,516.315,641.5093
Belgium,1993,27.64,0.51,70.08,1.5568211,510.65756,631.1829
Belgium,1994,30.11,0.61,71.34,1.8318212,546.805,663.908
Belgium,1995,31.490002,0.66999996,73.52,2.0507727,552.72076,672.1198
Belgium,1996,31.240002,0.56,75.14,1.7327287,589.1822,713.8814
Belgium,1997,29.869999,0.6,77.88,1.8033936,584.93756,721.2619
Belgium,1998,35.16,0.76,82.09,2.328797,602.0638,735.3865
Belgium,1999,33.5,0.85,83.37,2.6301074,588.42444,730.141
Belgium,2000,33.58,1.05,82.79,3.2206988,603.48157,743.34845
Belgium,2001,31.2,1.08,78.63,3.3100085,602.8867,736.85876
Belgium,2002,32.44,1.14,80.94,3.518733,597.305,733.4745
Belgium,2003,34.99,1.2,83.57,3.7072606,626.1305,761.691
Belgium,2004,34.11,1.5,82.92,4.6358757,629.1559,764.61993
Belgium,2005,34.39,2.11,84.1,6.5531263,618.7869,756.1178
Belgium,2006,33.46,2.96,83.07,9.171264,621.7085,758.24115
Belgium,2007,34.84,3.49,86.56,10.805004,621.80615,763.469
Belgium,2008,32.82,4.42,82.81,13.687,639.172,775.73395
Belgium,2009,37,5.45,89.67,18.292332,571.00775,715.8491
Belgium,2010,38.39,6.54,92.87,24.401985,612.62366,764.72125
Belgium,2011,32.51,8.31,89.05,29.101002,556.8064,713.59216
Belgium,2012,30.62,10.51,81.42,35.25785,543.64355,684.92365
Belgium,2013,27.37,11.71,81.72,38.324295,552.079,701.9301
Belgium,2014,25.03,12.21,70.94,40.042107,523.214,650.87177
Belgium,2015,27.57,14.45,68.12,44.693233,545.295,657.4427
Belgium,2016,26.19,14.25,83.96,45.997673,551.6957,709.49854
Belgium,2017,26.9,15.8,84.93,50.561905,557.6527,716.0518
Belgium,2018,27.75,17.17,73.52,53.84039,587.7759,714.2191
Belgium,2019,29.32,19.47,92.31,59.65564,568.6818,738.429
Belgium,2020,30,23.46,87.89,72.13415,505.11682,664.0325
Belgium,2021,25.97,22.73,99.03,70.46962,541.55786,738.39417
Belgium,2022,26.38,24.07,94.58,72.73318,498.51526,680.6572
Bulgaria,1990,25.61,1.63,41.9,5.5532255,277.9761,325.1415
Bulgaria,1991,25.239998,2.27,40.69,7.2180104,218.48157,263.10938
Bulgaria,1992,21.99,1.9,35.44,6.100269,208.68484,247.56409
Bulgaria,1993,22.08,1.79,37.84,5.7424726,218.66853,264.0596
Bulgaria,1994,21.34,1.3,37.98,4.3408604,206.19438,254.04854
Bulgaria,1995,22.22,2.17,41.65,6.842473,217.25267,273.0735
Bulgaria,1996,21.71,2.89,42.68,8.631452,212.05858,271.998
Bulgaria,1997,22.119999,2.72,42.59,8.143548,198.69548,257.20776
Bulgaria,1998,21.480001,3.07,41.45,9.157795,190.23712,247.34607
Bulgaria,1999,19.44,2.73,37.98,8.140591,164.30557,217.31862
Bulgaria,2000,19.79,2.63,40.6,7.904032,158.01701,217.5014
Bulgaria,2001,22.25,1.65,43.45,5.1029377,164.59537,224.81998
Bulgaria,2002,19.75,2.12,42.09,6.403923,155.02228,218.06604
Bulgaria,2003,22.02,2.99,42.29,8.784475,168.57735,225.45117
Bulgaria,2004,21.44,3.14,41.4,9.131955,162.36998,217.99915
Bulgaria,2005,20.98,4.3,43.93,12.432941,172.51389,236.20004
Bulgaria,2006,21.76,4.23,45.48,12.115733,175.43185,240.77203
Bulgaria,2007,25.38,2.88,42.9,8.25948,184.7735,232.7649
Bulgaria,2008,25.86,2.93,44.56,8.350056,179.45262,230.31332
Bulgaria,2009,23.39,3.68,42.33,10.448171,150.88222,202.21457
Bulgaria,2010,24.97,5.76,45.98,16.264631,154.66158,211.54092
Bulgaria,2011,29.75,3.89,49.95,11.074865,170.47174,224.73294
Bulgaria,2012,25.45,5.25,46.48,15.612391,156.51334,213.65845
Bulgaria,2013,21.96,6.91,43.04,20.162352,140.88452,198.10829
Bulgaria,2014,23.66,7.39,46.92,21.376947,148.92491,211.55034
