Country,Code,Year,Annual Co2 emissions from coal,Annual Co2 emissions from gas,Annual Co2 emissions from other industry,Total Annual Co2 Emisssion,Annual Co2 emissions (per capita)
Austria,AUT,1990,18138572,11836296,1135374,31110242,8.093165
Austria,AUT,1991,18699346,12501283,1020179.06,32220808.06,8.476919
Austria,AUT,1992,14385857,12518638,962184,27866679,7.683372
Austria,AUT,1993,13273662,13022035,965955,27261652,7.67469
Austria,AUT,1994,13456497,13655744,989794,28102035,7.692872
Austria,AUT,1995,15423285,14899087,1090495,31412867,8.05596
Austria,AUT,1996,15067890,15796022,1020630.94,31884542.94,8.465274
Austria,AUT,1997,16155693,15300357,1074098,32530148,8.442684
Austria,AUT,1998,13706165,15717101,1074750,30498016,8.387604
Austria,AUT,1999,13875090,16101723,1063347,31040160,8.21523
Austria,AUT,2000,15752621,15266094,1091619,32110334,8.257961
Austria,AUT,2001,16563696,16157637,1114458,33835791,8.725461
Austria,AUT,2002,16736631,16070299,1186760,33993690,8.90626
Austria,AUT,2003,18022592,17268124,1149708,36440424,9.539407
Austria,AUT,2004,17765950,17662322,1195040,36623312,9.506332
Austria,AUT,2005,17861760,18700774,1164958,37727492,9.611983
Austria,AUT,2006,17865266,17496976,1177345,36539587,9.289864
Austria,AUT,2007,17455148,16495413,1217101,35167662,8.934212
Austria,AUT,2008,17028334,17436060,1241619,35706013,8.830757
Austria,AUT,2009,12832833,17035762,1010988,30879583,8.066541
Austria,AUT,2010,15501043,18779364,1122056,35402463,8.610293
Austria,AUT,2011,15819384,17731132,1212205,34762721,8.329333
Austria,AUT,2012,14687176,16946164,1134048,32767388,7.9796877
Austria,AUT,2013,14960277,16332384,1158889,32451550,7.9909325
Austria,AUT,2014,13802023,14946754,1179646,29928423,7.5075483
Austria,AUT,2015,14372978,15967142,1146646,31486766,7.67711
Austria,AUT,2016,13334845,16736952,1168854,31240651,7.693105
Austria,AUT,2017,14023157,17974628,1200058,33197843,7.9105253
Austria,AUT,2018,12295195,17019492,1203469,30518156,7.528652
Austria,AUT,2019,13005251,17792616,1162217,31960084,7.6505237
Austria,AUT,2020,11393343,16876938,1123897,29394178,6.9644117
Austria,AUT,2021,12269229,17839484,1123897,31232610,7.243327
Belgium,BEL,1990,41393524,19846452,2657245,63897221,12.078102
Belgium,BEL,1991,40122108,21616768,2478016,64216892,12.352205
Belgium,BEL,1992,38118492,22204126,2376288,62698906,12.228684
Belgium,BEL,1993,36561770,23211648,2370738,62144156,12.089393
Belgium,BEL,1994,38012820,23696036,2453625,64162481,12.393784
Belgium,BEL,1995,36955412,26304788,2595713,65855913,12.474543
Belgium,BEL,1996,34203420,29213328,2416696,65833444,12.789887
Belgium,BEL,1997,31915682,27739842,2465893,62121417,12.209258
Belgium,BEL,1998,33213780,30865530,2529671,66608981,12.780278
Belgium,BEL,1999,28931274,33034572,2550072,64515918,12.196931
Belgium,BEL,2000,31671610,33199090,2680779,67551479,12.345596
Belgium,BEL,2001,28289752,32937378,2677025,63904155,12.228224
Belgium,BEL,2002,28636592,33255696,2741926,64634214,12.250462
Belgium,BEL,2003,27766146,34992028,2658685,65416859,12.328288
Belgium,BEL,2004,28251918,34982664,2843132,66077714,12.316073
Belgium,BEL,2005,26195950,35641404,2675129,64512483,11.9460535
Belgium,BEL,2006,25337382,35388412,2797156,63522950,11.70564
Belgium,BEL,2007,23158202,35637296,2688850,61484348,11.308469
Belgium,BEL,2008,23259024,35690164,2718196,61667384,11.203387
Belgium,BEL,2009,15162389,36481950,1956127,53600466,9.973965
Belgium,BEL,2010,17526192,40348548,2175391,60050131,10.531201
Belgium,BEL,2011,16688971,34579240,2293912,53562123,9.585852
Belgium,BEL,2012,15078114,34918196,2110023,52106333,9.27879
